episode,reward
0,-0.04025
1,-0.00975
2,-0.072
3,-0.1275
4,-0.067
5,0.00925
6,-0.145
7,-0.0145
8,-0.04775
9,-0.00375
10,-0.055
11,0.003
12,0.0435
13,0.03675
14,0.0425
15,0.00925
16,0.04275
17,-0.078
18,0.0035
19,0.01525
20,-0.02625
21,0.006
22,0.05375
23,0.0825
24,-0.02175
25,-0.002
26,-0.01075
27,0.01
28,0.03325
29,0.042
30,0.07675
31,0.03475
32,0.04725
33,-0.13825
34,-0.0095
35,0.0425
36,0.001
37,0.002
38,0.01325
39,0.00225
40,0.10375
41,-0.0395
42,-0.0775
43,0.052
44,-0.0545
45,0.04575
46,-0.049
47,0.03975
48,0.014
49,-0.1045
50,-0.00025
51,-0.03075
52,-0.0885
53,0.0735
54,0.0055
55,-0.0405
56,0.0415
57,0.00225
58,-0.0575
59,-0.0545
60,-0.00975
61,-0.03475
62,-0.01425
63,-0.00125
64,-0.00225
65,-0.01175
66,-0.00525
67,0.1135
68,0.1475
69,-0.095
70,0.01025
71,0.124
72,-0.0765
73,0.09025
74,0.08175
75,0.0345
76,-0.07
77,0.02175
78,0.078
79,-0.06925
80,-0.0285
81,-0.05525
82,-0.03475
83,-0.0455
84,-0.03975
85,-0.097
86,-0.03625
87,-0.03475
88,-0.0165
89,0.0635
90,0.0035
91,0.009
92,-0.03875
93,-0.09425
94,0.05625
95,0.08375
96,0.077
97,0.00925
98,0.048
99,-0.026
