episode,reward
0,-0.02875
100,0.645
200,0.63725
300,0.62125
400,0.639
500,0.71975
600,0.8135
700,0.69275
800,0.7995
900,0.79875
1000,0.76775
1100,0.78775
1200,0.87525
1300,0.82
1400,0.77525
1500,0.7495
1600,0.75275
1700,0.7015
1800,0.665
1900,0.75625
2000,0.78975
2100,0.8135
2200,0.7375
2300,0.76675
2400,0.76075
2500,0.722
2600,0.72
2700,0.782
2800,0.7355
2900,0.68725
3000,0.7125
3100,0.6935
3200,0.77225
3300,0.63425
3400,0.77
3500,0.684
3600,0.741
3700,0.763
3800,0.7415
3900,0.72575
4000,0.73575
4100,0.66825
4200,0.74175
4300,0.8015
4400,0.66675
4500,0.78125
4600,0.6585
4700,0.78475
4800,0.74975
4900,0.7015
