episode,reward
0,-0.02875
100,0.5195
200,0.73725
300,0.689
400,0.8735
500,0.76225
600,0.73025
700,0.777
800,0.79375
900,0.7975
1000,0.83325
1100,0.895
1200,0.9105
1300,0.8665
1400,0.831
1500,0.85175
1600,0.89275
1700,0.818
1800,0.78125
1900,0.81825
2000,0.8325
2100,0.81525
2200,0.83525
2300,0.80525
2400,0.781
2500,0.797
2600,0.72975
2700,0.77625
2800,0.735
2900,0.81875
3000,0.8315
3100,0.817
3200,0.86825
3300,0.68725
3400,0.75875
3500,0.797
3600,0.825
3700,0.75175
3800,0.77425
3900,0.827
4000,0.776
4100,0.7855
